2019-09-01 16:11:22,158|   DEBUG|      config_handler|            __init__: Parsing config.json
2019-09-01 16:11:22,158|   DEBUG|      config_handler|         addArgument: xpath_config with value {'volumes': '//volume', 'papers': './paper', 'titles': './title', 'authors': './author', 'abstracts': './abstract/text()', 'pids': './url/text()', 'first_name': './first/text()', 'last_name': './last/text()', 'check_volume': './frontmatter/url'} is in ACLParser
2019-09-01 16:11:22,158|   DEBUG|      config_handler|            __init__: PDFParserXpaths is in excluded, skipping it
2019-09-01 16:11:22,158|   DEBUG|      config_handler|         addArgument: Found path xml_path with value /home/gabe/Desktop/ACL-Author-Disambiguation/data/xml/ACL/
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: Found path name_variants_path with value /home/gabe/Desktop/ACL-Author-Disambiguation/data/
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: ext_directory with value True is in shared
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: save_path with value /home/gabe/Desktop/ACL-Author-Disambiguation/data/ is in shared
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: Found path save_path with value /home/gabe/Desktop/ACL-Author-Disambiguation/data/
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: save_data with value True is in shared
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: Found path parsed_pdf_path with value /home/gabe/Desktop/ACL-Author-Disambiguation/data/pdf_xml/
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: log_path with value /home/gabe/Desktop/ACL-Author-Disambiguation/logs/create_data.log/ is in shared
2019-09-01 16:11:22,159|   DEBUG|      config_handler|         addArgument: Found path log_path with value /home/gabe/Desktop/ACL-Author-Disambiguation/logs/create_data.log/
2019-09-01 16:11:42,045|   DEBUG|          pdf_parser|            __init__: 4489 aliases
2019-09-01 16:11:42,045|   DEBUG|          pdf_parser|            __init__: 45715 papers
2019-09-01 16:11:42,045|   DEBUG|          pdf_parser|            __init__: 36236 ids
2019-09-01 16:11:42,045|   DEBUG|          pdf_parser|            __init__: 0 manual_fixes
2019-09-01 16:11:43,300|   DEBUG|          pdf_parser|            __call__: to_check=[]
2019-09-01 16:11:43,300|   DEBUG|          pdf_parser|            __call__: to_use=12431
2019-09-01 16:11:43,300|    INFO|          pdf_parser|            __call__: Preparing PDF args
2019-09-01 16:11:44,935|   DEBUG|          pdf_parser|            __call__: Parsing in parallel with 4 cores
2019-09-01 16:11:44,936|    INFO|          pdf_parser|            __call__: Parsing 63 batches
